Table A-12. J100 Dataset: Best Known Solution (BKS) and Lower Bounds (LB) ,,,
Instance,BKS,LB,
,Published,Publishedd,Found by GBD
J1002_3,28,25,25
J1004_5,25,25,25
J1005_5,20,20,20
J1007_2,48,31,28
J1008_4,45,35,34
J1009_5,35,32,24
J10010_4,31,26,19
J10012_4,42,40,22
J10013_5,31,24,31
J10017_3,22,22,22
J10020_1,24,24,24
J10020_2,24,19,22
J10022_1,24,21,21
J10028_3,22,22,22
J10030_1,24,24,24
J10032_3,25,23,25
J10033_5,25,25,25
J10035_3,20,20,20
J10036_1,25,25,25
J10036_4,28,28,28
J10036_5,21,21,21
J10037_3,50,42,50
J10038_1,41,32,38
J10043_5,84,54,47
J10045_3,54,48,28
J10047_5,42,39,30
J10049_3,49,36,49
J10051_1,32,32,32
J10052_5,30,28,29
J10055_1,48,32,42
J10056_3,38,29,36
J10056_5,38,32,35
J10060_4,34,34,34
J10061_1,45,28,45
J10062_1,35,30,35
J10066_2,27,27,27
J10068_2,39,39,39
J10072_4,32,32,32
J10076_4,61,57,57
J10078_1,57,56,56
J10085_3,74,55,74
J10088_1,56,56,56
J10090_2,57,57,57
J10095_3,61,61,61
J10097_4,75,51,75
J10099_2,50,50,50
J100101_2,58,58,58
J100102_2,48,48,48
J100104_4,64,48,64
J100106_2,55,55,55
d: Critical path method (CPM) lower bound,,,
